"","CustID","Rating","Date","MovID","PredRat"
"1",2241806,5,"2005-02-21","12470",4.61895084942896
"2",1321470,5,"2005-04-30","14313",3.36485110730231
"3",1464315,5,"2004-10-18","16377",4.55038115122837
"4",14210,4,"2004-08-16","16242",4.23696097050444
"5",2018894,4,"2004-09-17","15124",4.50181678038514
"6",101564,3,"2005-11-08","15124",3.16934208061145
"7",2341591,5,"2003-08-14","15124",3.89521834292082
"8",1914553,4,"2002-05-02","15124",4.40522593559492
"9",1175365,2,"2005-06-17","6287",4.10607283159855
"10",52029,5,"2005-01-11","12470",5
"11",203890,3,"2005-01-23","12470",3.52104498256267
"12",362038,4,"2005-02-01","14313",4.23467997231718
"13",505275,5,"2004-09-21","1905",4.30201748793964
"14",814989,4,"2005-01-25","5317",4.50936354973218
"15",375292,5,"2003-03-18","5317",3.56599572167999
"16",29892,4,"2004-09-11","16242",4.17406874036112
"17",1379133,5,"2003-11-06","15124",4.45603714923215
"18",1135847,5,"2004-01-05","16242",4.02091071482729
"19",645873,4,"2004-05-20","16377",3.32236419123423
"20",486656,4,"2004-02-18","1905",4.07068447751171
"21",45207,5,"2005-04-24","1905",4.62913442647212
"22",822158,4,"2004-04-18","5317",4.20932028220435
"23",657836,3,"2005-09-29","14313",3.87445530291252
"24",2508768,3,"2004-06-10","15124",3.94217418107923
"25",1110479,5,"2005-05-11","16377",3.63794170753569
"26",715608,5,"2005-11-07","11283",3.7494478767831
"27",790183,4,"2002-09-10","6287",3.9764447198339
"28",1321470,3,"2005-04-30","12470",3.48752451544684
"29",234639,4,"2002-01-04","5317",3.97048538038631
"30",2156630,5,"2005-01-28","11283",3.72282270635922
"31",977533,4,"2004-02-26","5317",3.91580249251217
"32",2602674,5,"2005-08-06","5317",5
"33",239928,4,"2003-05-15","5317",4.61300554388598
"34",1643961,4,"2001-06-13","6287",4.53762916451342
"35",2299488,4,"2005-05-17","15124",4.08827059851971
"36",2492392,3,"2003-06-10","15124",2.3240686818758
"37",1143244,5,"2005-08-25","16377",4.35097257116483
"38",2495584,5,"2005-07-22","15124",3.86751590631273
"39",594870,4,"2005-08-03","16377",4.28994932050741
"40",1734790,5,"2005-03-02","6287",4.40165234411329
"41",2128766,4,"2004-11-24","15205",4.045911641968
"42",708047,3,"2005-04-12","14313",3.81633928048749
"43",240748,3,"2001-09-10","16242",4.48791135871916
"44",2286741,4,"2003-12-30","5317",3.6424727938096
"45",1998055,4,"2004-11-08","15205",3.7765625865918
"46",2628370,5,"2004-06-05","11283",4.80046946502224
"47",96133,3,"2001-05-17","12470",3.34543462420919
"48",1152933,4,"2004-11-03","15205",4.10458198393195
"49",833483,5,"2005-02-22","15205",4.67365477413316
"50",1190512,5,"2002-09-12","14313",3.26831380610002
"51",475278,5,"2004-07-09","12470",4.87625414332805
"52",635758,4,"2002-05-10","11283",2.88433399586731
"53",386467,5,"2003-07-10","1905",3.11244851585335
"54",150869,3,"2004-08-12","16377",4.17561014692939
"55",721546,3,"2005-03-29","12470",4.04747830413061
"56",701443,4,"2004-11-05","15205",4.26535623692099
"57",2521402,4,"2004-01-22","1905",4.17025348807059
"58",6629,3,"2004-10-20","15205",3.35863858510123
"59",1061195,5,"2004-01-13","1905",4.1523957186066
"60",1996735,4,"2004-04-26","15124",4.31949566688815
"61",2123534,3,"2005-05-31","14313",4.03333037836418
"62",1543231,1,"2004-12-08","12470",4.06873409491915
"63",2118461,5,"2005-08-29","14313",4.88556951774822
"64",364749,5,"2004-08-30","12470",4.71488855848322
"65",1137719,4,"2005-11-02","14313",3.4595448757763
"66",1888899,5,"2004-04-28","12470",3.64716809393672
"67",2570003,4,"2005-10-20","15205",4.46496007494623
"68",2244589,3,"2004-11-10","15205",3.68287305087024
"69",1137719,3,"2005-11-02","15124",3.38244583537966
"70",1542044,4,"2004-11-28","16242",4.58137920368497
"71",1882347,5,"2004-05-31","11283",3.63599237106649
"72",2536604,5,"2004-11-09","6287",3.22438828995779
"73",99844,5,"2005-01-13","11283",3.94480705451817
"74",1330284,4,"2005-10-25","6287",4.3676990956509
"75",1207170,4,"2003-10-07","6287",3.66800906461739
"76",2587440,4,"2005-03-05","1905",4.66057671618866
"77",10374,5,"2001-01-01","12470",4.6272929375468
"78",1869276,5,"2005-03-24","12470",4.2680065891649
"79",190136,4,"2005-06-14","5317",4.19289661972358
"80",2510709,4,"2004-06-14","1905",3.50190827989609
"81",392426,4,"2005-01-08","6287",4.18547533149513
"82",2351580,4,"2004-01-23","1905",3.66891971324984
"83",370735,1,"2005-08-23","6287",2.25519776954284
"84",360260,4,"2005-02-09","1905",4.21835884164601
"85",2006360,5,"2005-04-15","15205",4.3112135417991
"86",2593882,5,"2003-03-20","16377",3.83075070223926
"87",566690,4,"2004-03-17","5317",3.64212797304921
"88",159719,4,"2005-08-17","15124",3.55270524916705
"89",1789648,5,"2004-09-03","15124",3.81282354022532
"90",273292,4,"2004-11-29","15124",3.33905672728926
"91",912209,3,"2005-09-17","5317",3.87776304051558
"92",550573,4,"2004-11-05","6287",3.91249563400187
"93",823540,5,"2004-02-26","16242",4.14735414220771
"94",1412392,5,"2005-01-26","16242",4.73404083890672
"95",1135480,5,"2004-01-30","16242",4.60551592130632
"96",994838,3,"2004-10-12","5317",3.82273342824475
"97",2648181,4,"2005-05-12","5317",4.87125795880005
"98",1065598,5,"2004-06-10","15124",4.06387332031944
"99",1829014,5,"2003-12-27","6287",4.2133113181925
"100",962736,4,"2004-03-03","6287",4.00103601747745
"101",360260,4,"2005-02-09","14313",4.2124672161817
"102",360131,5,"2004-06-23","1905",3.97149490342081
